name;k_data;d_operational
Adanya peraturan mengenai Penyelenggaraan Kesejahteraan Sosial di daerah ;Dinas Sosial Kabupaten/Kota;Peraturan yang terkait dengan upaya peningkatan kesejahteraan sosial  bagi Pemerlu Pelayanan Kesejahteraan Sosial yang diinisiasi oleh pemerintah daerah dengan pengaturan mencakup tiga (3) manfaat: pensiun, disabilitas, dan kecacatan, dan survivors.
Penerima Pelayanan Dasar yang diberikan layanan SPM Bidang Sosial;Dinas Sosial Kabupaten/Kota;"Penyandang Disabilitas Terlantar, Anak Terlantar, Lanjut Usia Terlantar, Gelandangan dan Pengemis mendapatkan layanan rehabilitasi sosial serta korban bencana yang mendapatkan perlindungan dan jaminan sosial sesuai SPM Bidang Sosial

(Permensos 9 Tahun 2018 dan Permengdari 59 Tahun 2021 Tentang Penerapan SPM )"
Monitoring dan evaluasi program jaminan perlindungan sosial yang dilakukan daerah ;Dinas Sosial Kabupaten/Kota, Tim Koordinasi Penanggulangan Kemiskinan Daerah (TKPKD), UU 11 Tahun 2009 Tentang Kesejahteraan Sosial;Kegiatan monitoring dan evaluasi untuk memastikan pelaksanaan program jaminan sosial untuk Keluarga Penerima Manfaat (KPM) yang mencakup bantuan langsung berkelanjutan dan bantuan sosial lainnya
Angka Kriminalitas;Sumber data BPS Kabupaten/Kota;Angka kriminalitas merupakan agregat semua jenis kejahatan yang terjadi dalam satu waktu tanpa mempertimbangkan tingkat keseriusannya.
Persentase pelayanan komprehensif yang diberikan kepada perempuan dan anak korban kekerasan;Dinas Sosial, UPTD PPA atau P2TP2A, BPBD, Kepolisian, dan anggota Gugus Tugas KLA;prevalensi perempuan dan anak yang mengalami kekerasan fisik, psikis, seksual, penelantaran, eksploitasi dan/atau kekerasan lainnya yang mendapatkan pelayanan penanganan kasus secara komprehensif dibagi jumlah keseluruhan kasus sebagaimana dijelaskan dalam standar pelayanan minimal bidang layanan terpadu bagi perempuan dan anak korban kekerasan
Persentase pemerlu pelayanan kesejahteraan sosial (PPKS) yang memperoleh program perlindungan dan jaminan sosial, rehabilitasi sosial dan pemberdayaan sosial;Dinas Sosial Kabupaten/Kota, Data Terpadu Kesejahteraan Sosial;Perseorangan, keluarga, kelompok, dan/atau masyarakat  karena suatu hambatan, kesulitan, atau gangguan, tidak dapat melaksanakan fungsi sosialnya, sehingga memerlukan pelayanan sosial untuk memenuhi kebutuhan hidupnya baik jasmani dan rohani maupun sosial secara memadai dan wajar meliputi rehabilitasi sosial,  jaminan sosial, pemberdayaan sosial dan perlindungan sosial 
Adanya layanan pengaduan terkait permasalahan sosial ;Dinas Sosial melalui capaian SPM Kab/Kota, Puskesos atau unit pengaduan lain yang dimiliki daerah;"Layanan pengaduan merupakan sarana untuk menerima dan menindaklanjuti informasi berupa pengaduan, keluhan, dan/atau pertanyaan yang disampaikan oleh masyarakat kepada dinas sosial daerah Kabupaten/Kota dan/atau Pusat Kesejahteraan Sosial mengenai pemenuhan kebutuhan dasar

(Permensos 9 Tahun 2018 Tentang Standar Teknis Pelayanan Dasar pada Standar Pelayanan Minimal Bidang Sosial di Daerah Provinsi dan Kabupaten/Kota)"
Adanya kebijakan/program peningkatan kesejahteraan sosial dalam Rencana Pembangunan jangka Menengah Daerah/RPJMD;Dinas Sosial Kabupaten/Kota;Terdapat Kebijakan Peningkatan Kesejahteraan Sosial yang mencangkup Rehabilitasi Sosial, Perlindungan dan Jaminan Sosial serta Pemberdayaan Sosial yang terdapat dalam dokumen perencanaan daerah (RPJMD/Renstra)
Keberadaan peran Lembaga Kesejahteraan Sosial (LKS) yang memberikan penanganan kepada pemerlu pelayanan kesejahteraan sosial (PPKS) yang berbadan hukum/ terdaftar di dinas sosial;Dinas Sosial Kabupaten/Kota;Jumlah Lembaga Kesejahateraan Sosial yang terakreditasi yang memberikan pelayanan kesejahteraan sosial di daerah kabupaten/kota
Adanya regulasi daerah tentang penanganan kekerasan anak, perempuan dan lansia;Dinas PPPA, UPTD PPA, P2TP2A;regulasi daerah yang memuat mekanisme perlindungan anak berupa pencegahan dan respon cepat penanganan kekerasan pada anak
