name;s.data;d.operasional
Nilai Indeks Kualitas Lingkungan Hidup (IKLH);Data dari Dinas LH kabupaten/kota tentang laporan perhitungan indeks kualitas lingkungan hidup;PermenLHK Nomor 27 Tahun 2021, yaitu nilai yang menggambarkan kualitas lingkungan hidup dalam suatu wilayah pada waktu tertentu, yang merupakan nilai komposit dari indeks kualitas air, indeks kualitas udara, indeks kualitas lahan dan indeks kualitas air laut.
Rumah tangga memiliki akses sanitasi aman;SPM Capaian akses Air Limbah Domestik yang aman, Laporan hasil input Dinas PUTR pada aplikasi SICALMERS yang dibuat oleh Kementerian PUPR;"Fasilitas air limbah domestik yang dimiliki rumah tangga yang terhubung dengan tangki septik yang kedap dan lumpur tinjanya diolah di IPLT melalui penyedotan minimal setiap 3 tahun sekali per rumah tangga (PP 2/2018 tentang SPM)

Akses Aman adalah apabila rumah tangga memiliki fasilitas sanitasi sendiri, dengan bangunan atas dilengkapi kloset dengan leher angsa, dan bangunan bawahnya menggunakan tangki septik yang disedot setidaknya sekali dalam 5 (lima) tahun terakhir dan diolah dalam instalasi pengolahan lumpur tinja (IPLT), atau tersambung ke sistem pengolahan air limbah domestik terpusat (SPALD-T) (Metadata SDGs Tujuan 6.2 Pilar Lingkungan)

Setiap kabupaten/kota mencapai target tahunan akses air limbah domestik aman sesuai target yang telah ditetapkan dalam RPJMD/SSK di masing-masing daerah

Sesuai Rencana Pembangunan Jangka Menengah Nasional (RPJMN) periode 2020-2024 untuk memastikan layanan air minum layak, aman, dan berkelanjutan bagi semua, pemerintah telah menetapkan target akses air sanitasi layak sebesar 90% termasuk 15% akses aman di tahun 2024.  Serta komitmen Tujuan Pembangunan Berkelanjutan (TPB)/Sustainable Development Goals (SDGs) untuk mencapai 100% Akses Layak dan Pengurangan Setengah Porsi Air Limbah Tidak Terolah di tahun 2030"
Rumah tangga yang melakukan pengelolaan sampah berupa pengurangan dan penanganan sampah;"Data BPS dan Aplikasi SIPSN (Sistem Informasi Sampah Nasional) Kementerian  LHK

Dokumen Jakstrada kabupaten/kota dan Dokumen Jakstrada Provinsi";"Capaian pengelolaan persampahan di rumah tangga baik dari penanganan maupun pengurangan sampah

Pengurangan sampah rumah tangga dan sampah sejenis rumah tangga dilakukan melalui a) pembatasan timbulan sampah; b) pendauran ulang sampah; c) pemanfaatan kembali sampah.

Penanganan sampah meliputi kegiatan: pemilahan, pengumpulan, pengangkutan, pengolahan dan pemrosesan akhir.

Setiap kabupaten/kota mencapai target tahunan pengelolaan sampah sesuai target yang telah ditetapkan dalam RPJMD/Jakstranas di masing masing daerah"
Luas kawasan permukiman kumuh kewenangan pemerintah kota/kabupaten yang tertangani (luasan di bawah 10 hektar):;SK Kumuh ditetapkan oleh Bupati/Walikota muncul kawasan kumuh (ringan, sedang, berat). ;"Definisi operasional:
- Permukiman Kumuh adalah Permukiman yang tidak layak huni karena ketidakteraturan bangunan, tingkat kepadatan bangunan yang tinggi, dan kualitas bangunan serta Sarana dan Prasarana yang tidak memenuhi syarat. 
- Kriteria kekumuhan ditinjau dari bangunan gedung, jalan lingkungan, penyediaan air minum, drainase lingkungan, pengelolaan air limbah, pengelolaan persampahan; dan proteksi kebakaran.
- Klasifikasi kondisi kekumuhan:
   a. ringan;
   b. sedang; dan
   c. berat.
(Sumber: Peraturan Menteri PUPR no 14/PRT/M/2018 tentang Pencegahan dan Peningkatan Kualitas Terhadap Perumahan Kumuh dan Permukiman Kumuh)"
Akses terhadap air minum yang layak melalui Sistem Penyediaan Air Minum (SPAM) jaringan perpipaan dan non perpipaan;SIMSPAM Direktorat Air Minum (airminum.ciptakarya.pu.go.id), Data diinput oleh Dinas pengampu Air Minum di Kab/Kota;"- Air minum yang berkualitas (layak) adalah air minum yang terlindung meliputi air ledeng (keran), keran umum, hydrant umum, terminal air, penampungan air hujan (PAH) atau mata air dan sumur terlindung, sumur bor atau sumur pompa, yang jaraknya minimal 10 m dari pembuangan kotoran, penampungan limbah dan pembuangan sampah. Tidak termasuk air kemasan, air dari penjual keliling, air yang dijual melalui tanki, air sumur dan mata air tidak terlindung. Proporsi rumah tangga dengan akses berkelanjutan terhadap air minum layak adalah perbandingan antara rumah tangga dengan akses terhadap sumber air minum berkualitas (layak) dengan rumah tangga seluruhnya, dinyatakan dalam persentase. (BPS)

- SPAM Jaringan Perpipaan adalah satu kesatuan sarana dan prasarana penyediaan air minum yang disalurkan kepada pelanggan melalui sistem perpipaan.
- SPAM Bukan Jaringan Perpipaan adalah satu kesatuan sarana prasarana penyediaan air minum yang disalurkan atau diakses pelanggan tanpa sistem perpipaan. (Permen PUPR No 27 Tahun 2016 tentang Penyelenggaraan SPAM)"
Persentase Tempat Fasilitas Umum (TFU) yang dilakukan inspeksi kesehatan lingkungan ;Dinas Kesehatan;Jumlah TFU yang dilakukan Inspeksi Kesehatan Lingkungan (IKL) dibandingkan dengan seluruh TFU di Kabupaten/Kota
Adanya implementasi program langit biru ;Dinas LH;"Perda/Perwali/SE Kepala Daerah
Baku Mutu Uji Emisi, Melakukan pemantauan udara ambien, 
Program Langit Biru adalah program pengendalian pencemaran udara dari sumber bergerak dan tidak bergerak (Kepmenlh Nomor 15 tahun 1996 tentang Program Langit Biru)"
Pelaksanaan car free day ;DLH Kabupaten Kota / provinsi;Perda/Perkada/Perwali, Car Free Day adalah hari bebas kendaraan bermotor
Peningkatan pengelolaan sungai dan keterlibatan masyarakat melalui Program Kali Bersih (PROKASIH);DLH/PUPR;Perda/Perkada/SE Kepala Daerah yang diterbitkan oleh Pemerintah daerah terkait pengelolaan sungai. Program Kali Bersih disingkat dengan PROKASIH adalah program kerja pengendalian pencemaran air sungai dengan tujuan untuk meningkatkan  kualitas air sungai agar tetap berfungsi sesuai dengan peruntukannya ( KEPUTUSAN MENTERI NEGARA LINGKUNGAN HIDUP NO. 35 TAHUN 1995 TENTANG PROGRAM KALI BERSIH)
" Adanya Penyelenggara SPAM (BUMD/UPTD/BUMDES/POKMAS/BUKS/Swasta)
 dan memiliki dokumen RISPAM";SIMSPAM Direktorat Air Minum (airminum.ciptakarya.pu.go.id), Data diinput oleh Dinas pengampu Air Minum di Kab/Kota;"- Penyelenggaraan SPAM adalah serangkaian kegiatan dalam melaksanakan pengembangan dan pengelolaan sarana dan prasarana yang mengikuti proses dasar manajemen untuk penyediaan Air Minum kepada masyarakat,
- Rencana Induk Sistem Penyediaan Air Minum (RISPAM) adalah Dokumen perencanaan Air Minum jaringan perpipaan dan perencanaan Air Minum bukan jaringan perpipaan 
berdasarkan proyeksi kebutuhan Air Minum pada satu  periode yang dibagi dalam beberapa tahapan dan memuat komponen utama sistem beserta dimensi - dimensinya. 
(PP 122 Tahun 2015 tentang SPAM)"
Adanya regulasi/kebijakan terkait Air Limbah Domestik (ALD) (Perda dan/atau Perkada terkait Pengelolaan ALD ) dan  Dokumen Perencanaan Sistem Pengelolaan ALD (Strategi Sanitasi Perkotaan dan/atau Rencana Induk Sistem Pengelolaan ALD);Jaringan Dokumentasi dan Informasi Hukum (JDIH) Kab/Kota;Regulasi/Kebijakan terkait Air Limbah Domestik bertujuan untuk mengendalikan serta memudahkan terciptanya ketertiban di dalam pengelolaan Air Limbah Domestik di seluruh lapisan masyarakat.
Adanya Pemisahan Peran Operator dan Regulator dalam Kelembagaan Pengelola Persampahan;Jaringan Dokumentasi dan Informasi Hukum (JDIH) Kab/Kota;Pemisahan peran operator dan regulator dalam kelembagaan pengelola persampahan bertujuan untuk mengoptimalkan pelayanan pengelolaan sampah kepada masyarakat, dimana dilakukan pemisahan kewenangan antara pemerintah sebagai regulator dan pengawas dengan badan/unit sebagai penyelenggara. Hal ini sudah diatur dalam Peraturan Pemerintah No. 16 Tahun 2005
Terdapat Instalasi Pengolahan Lumpur Tinja (IPLT), dengan layanan penyedotan lumpur tinja serta truk tinja yang beroperasi;Uji Lapangan atau Dinas yang memiliki tugas dan wewenang dalam penyelenggaraan ALD;Layanan penyedotan lumpur tinja adalah layanan penyedotan lumpur tinja dari sub-sistem pengolahan setempat (tangki septik) oleh operator pengelola air limbah domestik (UPTD/BLUD maupun Badan Usaha). Instalasi Pengolahan Lumpur Tinja (IPLT) adalah Instalasi pengolahan air limbah domestik yang dirancang hanya menerima dan mengolah lumpur tinja yang berasal dari Sub Sistem Pengolahan Setempat. Truk tinja beroperasi dan masuk ke IPLT menunjukkan bahwa truk tinja difungsikan untuk menyedot lumpur tinja dari sub-sistem pengolahan setempat (tangki septik), kemudian lumpur tinja tersebut diangkut dan diolah di IPLT sehingga aman untuk dibuang ke badan air permukaan.
Terdapat instalasi pengolahan air limbah domestik (IPALD) serta tersambung ke rumah tangga ;Uji Lapangan atau Dinas yang memiliki tugas dan wewenang dalam penyelenggaraan ALD;"Instalasi Pengolahan Air Limbah Domestik (IPALD) adalah bangunan air yang
berfungsi untuk mengolah air limbah domestik. IPALD merupakan bagian dari Sistem Pengelolaan Air Limbah Domestik Terpusat (SPALD-T). SPALD-T
adalah sistem pengelolaan yang dilakukan dengan mengalirkan air limbah domestik dari sumber secara kolektif ke Sub-sistem Pengolahan Terpusat untuk diolah sebelum dibuang ke badan air permukaaan."
Adanya regulasi/kebijakan terkait persampahan (Perda atau Perkada) dan Dokumen Perencanaan Sistem Pengelolaan Sampah (Strategi Sanitasi Kabupaten/Kota dan/atau Rencana Induk Sistem Pengelolaan Sampah);Jaringan Dokumentasi dan Informasi Hukum (JDIH) Kab/Kota, Dinas LH;Peraturan/Regulasi terkait persampahan bertujuan untuk mengendalikan serta memudahkan terciptanya ketertiban di dalam pengolahan persampahan di seluruh lapisan masyarakat.
Adanya  pelaksanaan pemilahan sampah oleh kelompok masyarakat dan program pengelolaan sampah tingkat desa yang meliputi pemrosesan awal di tingkat rumah tangga sebelum diangkut ke TPS, adanya upaya pengolahan sampah organik menjadi kompos, memfungsikan TPS menjadi tempat daur ulang sampah rumah tangga, dan pengangkutan sampah dari TPS ke TPA secara rutin;Data dari dokumen perencanaan Dinas LH (apakah terdapat program pengolahan sampah tingkat desa);"Pelaksanaan pemilahan sampah oleh kelompok masyarakat adalah kegiatan mengelompokkan dan memisahkan sampah sesuai dengan jenis, jumlah dan/atau sifat sampah yang dilakukan secara bersama-sama dalam kelompok masyarakat di tingkat desa/kelurahan.
Program pengelolaan sampah tingkat desa adalah kegiatan pengelolaan sampah yang meliputi:  pemrosesan awal di tingkat rumah tangga sebelum diangkut ke TPS (berupa pemilahan sampah di rumah dan menerapkan Reduce, Reuse, Recycle), adanya upaya pengolahan sampah organik menjadi kompos, memfungsikan TPS sebagai tempat daur ulang sampah rumah tangga dan pengangkutan sampah dari TPS ke TPA Sampah secara rutin, dimana hanya sampah residu yang dibawa ke TPA sampah."
Persentase infrastruktur pengolahan sampah berbasis masyarakat (TPS 3R dan/atau bank sampah) terbangun serta sarana pengangkutan sampah sesuai standar dan beroperasi;Perangkat daerah yang menangani urusan yang terkait persampahan (PUPR/KLHK);Persentase Infrastruktur pengolahan sampah berbasis masyarakat (TPS 3R dan/atau bank sampah) dan sarana/armada pengangkutan sampah adalah jumlah TPS 3R dan/atau Bank Sampah yang beroperasi/berfungsi dengan baik dan jumlah sarana/armada yang sesuai standar serta dalam kondisi layak pakai dan beroperasi 
Persentase korban kebakaran atau terdampak kebakaran yang mendapatkan pelayanan  penyelamatan dan evakuasi kebakaran;Dinas Damkar;Jumlah warga negara yang menjadi korban kebakaran atau terdampak kebakaran yang mendapatkan layanan penyelamatan serta evakuasi sesuai standar. 
Keberadaan fasilitas dan sarana di kawasan pertamanan yang ramah anak, ramah lansia dan ramah difable ;"Dinas Perkim/PUPR/Dinas Pertamanan
SIPSN KLHK";Tersedianya fasilitas dan sarana di kawasan pertamanan yang ramah anak, ramah lansia dan ramah difable di Kabupaten/Kota
Implementasi ketersediaan/akses tempat pengumpulan limbah B3 yang memenuhi syarat di tingkat Kabupaten/Kota;belum ada;"- Mengacu pada UU 11 Tahun 2020: pengelolaan limbah B3 wajib mendapat perizinan berusaha, atau persetujuan pemerintah pusat dan pemerintah daerah.
- Mengacu pada PermenLHK Nomor 22 Tahun 2021:
Limbah Bahan Berbahaya dan Beracun yang selanjutnya disebut Limbah 83 adalah sisa suatu usaha dan/atau kegiatan yang rnengandung B3. 
Rezim pengelolaan limbah B3 adalah perizinan berusaha, bukan kewenangan perangkat daerah untuk melaksanakan. Sehingga kurang pas dijadikan indikator kinerja pemda"
Akses rumah tangga yang memenuhi kriteria rumah layak huni ;dinas perumahan dan kawasan permukiman;kriteria rumah layak huni mengacu pada Kepmenkimpraswil 403/2002, UU Nomor 28 Tahun 2002, Permen PUPR nomor 5 Tahun 2016 dan kriteria menurut SDG's . Menurut penjelasan pasal 24 UU Nomor 1 Tahun 2011 rumah layak huni adalah rumah yang memenuhi presyaratan keselamatan bangunan dan persyaratan minimum luas bangunan serta kesehatan penghuni. Dalam rangka kesehatan penghuni, rumah perlu dilengkapi dengan indikator pencahayaan 10% dari luas lantai dan penghawaan 5% dari luas lantai
