name;k_data;d_operational
Adanya regulasi terkait penyediaan layanan transportasi jalan, kawasan tertib lalu lintas, sistem manajemen keselamatan lalu lintas dan angkutan jalan;"
Perda/Perbub/Perwali tentang Transportasi yang didalamnya setidaknya mengakomodir salah satu diantaranya tentang penyelenggaraan transportasi lalu lintas dan angkutan jalan 
Perda/Perbub/Perwali tentang Transportasi yang didalamnya setidaknya mengakomodir salah satu diantaranya tentang penyelenggaraan transportasi lalu lintas dan angkutan jalan ";Sesuai UU No 23 tahun 2014 tentang pembagian kewenangan dan UU No 22 tahun 2009 tentang LLAJ, ada Pembagian kewenangan pembinaan antara pemerintah pusat dan daerah, dimaksudkan agar tugas dan tanggung jawab setiap pembina bidang Lalu Lintas dan Angkutan Jalan terlihat lebih jelas dan transparan sehingga penyelenggaraan Lalu Lintas dan Angkutan Jalan dapat terlaksana dengan selamat, aman, tertib, lancar, dan efisien, serta dapat dipertanggungjawabkan
Persentase kendaraan umum yang laik jalan;data dapat diperoleh pada dinas perhubungan ;"Pelaksanaan kegiatan pengecekan kendaraan yang laik jalan masuk dalam sistem keselamatan jalan yang tertuang dalam peraturan menteri perhubungan republik indonesia nomor pm 85 tahun 2018 tentang sistem manajemen keselamatan perusahaan angkutan umum serta keputusan dirjen perhubungan darat no KP 1990/AJ.503/DRJD/ tahun 2019 tentang tata cara penilaian sistem manajemn keselamatan angkutan umum pasal 4
Jumlah kendaraan yang laik jalan masuk dalam sistem keselamatan jalan yang dibagi dengan jumlah total kendaraan yang masuk 

Peraturan menteri perhubungan republik indonesia nomor pm 85 tahun 2018 tentang sistem manajemen keselamatan perusahaan angkutan umum serta keputusan dirjen perhubungan darat no KP 1990/AJ.503/DRJD/ tahun 2019 tentang tata cara penilaian sistem manajemn keselamatan angkutan umum pasal 4"
Persentase penurunan tingkat fatalitas akibat kecelakaan dalam tahun berjalan;"
Sumber data : Satlantas Kabupaten/Kota atau pihak PT Jasa Raharja Kabupaten/Kota ";Penurunan tingkat fatalitas korban kecelakaan dalam 1 tahun terakhir 
"Keberadaan sistem layanan pertolongan kecelakaan yang cepat dan terintegrasi
Kesiapsiagaan dalam penanganan korban kecelakaan ";Kepolisian Kabupaten/Kota, Diskominfo, Dinas Perhubungan, Dinas Kesehatan ;Sistem aplikasi online layanan dalam penanganan korban kecelakaan yang terintegrasi antara satuan perangkat pemerintah yang memiliki tanggung jawab dalam penanganan kecelakaan (misal dinas kesehatan dalam menyediakan ambulance dan pertolongan pertama, dinas perhubungan dalam pengaturan lalu lintas dan lain-lain) dan tersosialisasi di masyarakat serta dapat diakses oleh masyarakat. Sebagai contoh layanan pengaduan kecelakaan.
Adanya program atau kegiatan pemeriksaan NAPZA atau narkoba terhadap pengemudi yang dilakukan;Sumber data dari dinas perhubungan,kementerian perhubungan dan perusahaan angkutan;"Pelaksanaan kegiatan P4GN dan transportasi sebagaimana dimaksud melalui kegiatan: a. Sosialisasi;b. Advokasi; c. Operasi Rutin;d. Operasi Khusus; dan e. Operasi Kontijensi Bertujuan memberikan hasil yang optimal dan kegiatan dapat dipertanggungjawabkan, baik secara administratif maupun teknis pelaksanaannya"
Terminal yang memenuhi syarat kesehatan;Sumber data diterminal;"Kewajiban melaksanaan terminal yang sehat dan layak tertuang dalam Peraturan Menteri Perhubungan No 24 tahun 2021 tentang penyelenggaraan terminal angkutan jalan dan Peraturan Menteri Perhubungan no. 40 tahun 2015 tentang standar pelayanan penyelenggaraan terminal angkutan jalan sesuai dengan tolak ukur yang telah ditentukan :
Definisi operasional capaian Terminal harus memenuhi syarat sebagai berikut : 
1. Sarana sanitasi bersih dan berfungsi
2. Tersedia akses cuci tangan pakai sabun
3. Lingkungan bersih (kerja bakti rutin) /dan sampah terkelola
4. Penerapan KTR
5. Udara bersih dan adanya ruang terbuka hijau
6. Promosi kesehatan tersedia (dalam bentuk aktif dan pasif)
7. Seluruh Tempat Pengolahan Makanan terstikerisasi"
Persentase angkutan umum yang memiliki BLUe (Bukti Lulus Uji Elektronik);sumber data pada dinas perhubungan untuk angkutan umum daerah dan kementerian perhubungan untuk angkutan umum lintas provinsi;Peraturan menteri perhubungan republik indonesia nomor pm 19 tahun 2021 tentang pengujian berkala kendaraan bermotor bahwa pemerintah daerah wajib melaksanakan  Pengujian Kendaraan Bermotor                                         (Pengujian Kendaraan Bermotor adalah serangkaian kegiatan menguji dan/ atau memeriksa bagian atau komponen Kendaraan Bermotor, kereta gandengan, dan kereta tempelan dalam rangka pemenuhan terhadap persyaratan teknis dan laik jalan untuk memberikan jaminan keselamatan)
Keberadaan fasilitas jalur pejalan kaki (trotoar) bagi masyarakat umum dan penyandang disabilitas ;sumber data dari dinas perhubungan ;1. Peraturan Menteri PUPR Nomor 03/PRT/M/2014 tentang Perencanaan, Penyediaan, dan Pemanfaatan Prasarana dan Sarana Jaringan Pejalan Kaki diKawasan Perkotaan. 2. Bahwa fasilitas bagi penumpang penyandang disabilitas tertuang dalam peraturan menteri perhubungan nomor PM 98 tahun 2017 tentang penyediaan aksesblilitas pada pelayanan jasa trasnportasi publik bagi pengguna jasa berkebutuhan khusus
Jumlah titik fasilitas jalur sepeda;sumber data dari dinas perhubungan ;Peraturan Menhub Nomor 65 Tahun 1993 tentang Fasilitas Pendukung Kegiatan Lalu Lintas dan Angkutan Jalan
Adanya zona selamat sekolah;data dari kementerian perhubungan untuk diruas jalan nasional dan dinas perhubungan untuk dijalan kab/kota;Peraturan Direktur Jenderal Perhubungan Darat No. SK.3582/AJ/403/DRJD/2018 tentang pedoman teknis pemberian prioritas keselamatan dan kenyamanan pejalan kaki pada kawasan sekolah melalui penyedian zona selamat  sekolah
