name;s.data;d.operasional
Adanya regulasi daerah tentang pasar sehat;Biro Hukum Pemerintah Daerah;Tersedianya regulasi daerah tentang pasar sehat dengan satuan ukur dokumen
Adanya regulasi penanganan Pedagang Kaki Lima (PKL);Biro Hukum Pemerintah Daerah;Tersedianya regulasi daerah tentang penanganan PKL dengan satuan ukur dokumen
"
Persentase pasar yang menerapkan Kawasan Tanpa Rokok (KTR)";Perangkat daerah yang membidangi terkait Pasar;Jumlah tpasar yang menerapkan Kawasan Tanpa rokok (KTR) dibandingkan dengan jumlah total pasar di Kab/Kota, dalam satuan ukur presentase.
Persentase pasar yang menerapkan Kesehatan dan Keselamatan Kerja (K3);Perangkat daerah yang membidangi terkait Pasar;Jumlah pasar yang menerapkan  Kesehatan dan Keselamatan Kerja (K3) dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase (SOP dan penerapannya dilaksanakan)
Persentase Pasar yang menyediakan air bersih/air minum;Perangkat daerah yang membidangi terkait Pasar;"Jumlah pasar yang menerapkan penyediaan air bersih/air minum perlu memenuhi persyaratan sesuai SNI Pasar No 8152:2021 berikut :
a. tersedianya air bersih/air minum dengan jumlah yang cukup secara berkesinambungan
b. tersedianya instalasai pengolahan air bersih pada area bahan pangan basah
c. pemeriksaan kualitas air bersih/air minum dilakukan melalui pengujian secara berkala
dibagi jumlah total pasar di Kabupaten/Kota dikali 100"
Persentase pasar yang melakukan pengawasan internal terkait kesehatan (contoh : pengawasan bahan pangan berbahaya atau uji kelayakan air bersih);Pencatatan dinas / pengelola Pasar, laporan;Jumlah pasar yang melakukan pengawasan internal dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase
Persentase pasar yang melaksanakan Komunikasi, Informasi dan Edukasi (KIE) kesehatan  masyarakat bekerjasama dengan sektor terkait  kepada masyarakat pasar  ;Perangkat daerah yang membidangi terkait Pasar dan urusan terkait lainnya ;Jumlah pasar yang sudah melaksanakan Komunikasi, Informasi dan Edukasi (KIE) kesehatan masyarakat (KTR, CTPS, PHBS, pengukuran kualitas lingkungan, PHAST Pasar dll.) kepada masyarakat pasar dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase
Persentase pasar yang memiliki fasilitas ruang ASI;Pencatatan dinas / pengelola Pasar, laporan;Jumlah  pasar yang memiliki fasilitas ruang ASI dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase
Persentase pasar yang melakukan pengelolaan sampah dengan prinsip 3 R (reduce, reuse, dan recyle);Perangkat daerah yang membidangi terkait Pasar dan urusan terkait lainnya ;Jumlah   pasar yang melakukan pengelolaan sampah dengan prinsip 3 R (reduce, reuse, dan recyle) dibagi dengan total jumlah pasar di kab/kota dikali 100
Persentase pasar yang melakukan pengelolaan air limbah ;Perangkat daerah yang membidangi terkait Pasar dan urusan terkait lainnya ;Jumlah   pasar yang melakukan pengelolaan air limbah  dibagi dengan total jumlah pasar di kab/kota dikali 100
Persentase pasar yang memiliki fasilitas toilet yang bersih dan memadai;Pencatatan dinas / pengelola Pasar, laporan;Jumlah pasar yang memiliki fasilitas toilet bersih dan memadai dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase
Persentase pasar yang memiliki fasilitas pos kesehatan (ruang kesehatan atau fasilitas P3K);Pencatatan dinas / pengelola Pasar, laporan;Jumlah pasar yang memiliki fasilitas pos kesehatan dan memadai dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase
Persentase pasar yang terdapat pemotongan hewan di dalam pasar;Pencatatan dinas / pengelola Pasar, laporan;Jumlah pasar yang terdapat pemotongan hewan di dalam pasar dibandingkan dengan total jumlah pasar di kab/kota, dalam satuan ukur persentase
